##grflangid 0x03,
##plural 2,
##gender m m2 f,
,
,
STR_GRF_NAME,{TITLE}
STR_GRF_DESCRIPTION,
STR_GRF_URL,https://github.com/nemethviktor/2ccts_revival
,
,
STR_USED_WITH_DYNAMIC_ENGINES,dynamic_engines = true (réglage dans openttd.cfg)
STR_ERROR_REGION,"Aucune région activée, {STRING} a été désactivé"
,
,
STR_PARAM_PURCHASE_COST,Multiplicateur du prix d'achat
STR_PARAM_PURCHASE_COST_DESC,Utiliser ce paramètre pour augmenter ou diminuer le prix d'achat des véhicules de ce Set.
STR_PARAM_RUNNING_COST,Multiplicateur des coûts de fonctionnement
STR_PARAM_RUNNING_COST_DESC,Utiliser ce paramètre pour augmenter ou diminuer les coûts de fonctionnement des véhicules de ce Set.
,
STR_WORD_NORMAL,par défaut
,
STR_SUFFIX_STEAMENGINE,
STR_SUFFIX_DIESELENGINE,
STR_SUFFIX_ELECTRICENGINE,
STR_SUFFIX_MAGLEVENGINE,
,
STR_SUFFIX_STEAMRAILBUS,Autorail Vapeur
STR_SUFFIX_DIESELRAILBUS,Autorail Diesel
STR_SUFFIX_ELECTRICRAILBUS,Autorail Électrique
STR_SUFFIX_METRORAILBUS,Métro Unité Autonome
STR_SUFFIX_MAGLEVRAILBUS,
,
STR_SUFFIX_DMU,Rame Diesel
STR_SUFFIX_EMU,Rame Électrique
STR_SUFFIX_MMU,
STR_SUFFIX_COACH,
STR_SUFFIX_WAGON,
STR_SUFFIX_METRO,
,
STR_SUFFIX_UNPOWERED,non-motorisé
STR_SUFFIX_POWERED,motorisé
,
STR_SUFFIX_STEAM,Vapeur
STR_SUFFIX_DIESEL,
STR_SUFFIX_ELECTRIC,Électrique
STR_SUFFIX_MAGLEV,
STR_SUFFIX_GAS_TURBINE,
,
STR_SUFFIX_1500V,
STR_SUFFIX_3KV,
STR_SUFFIX_15KV,
STR_SUFFIX_25KV,
STR_SUFFIX_OHLE,
STR_SUFFIX_3RD,
STR_SUFFIX_4TH,
STR_SUFFIX_DUAL,
,
,
STR_UNIT_WAGON_PASSENGER,Ce wagon générique peut être utilisé UNIQUEMENT par les rames passagers pour des trains de longueurs variables
STR_UNIT_WAGON_CARGO,Ce wagon générique peut être utilisé UNIQUEMENT par les rames marchandises pour des trains de longueurs variables
,
STR_CANNOT_ATTACH_WAGON_TO_MU,Impossible d'atteler ce wagon à une Rame
STR_CANNOT_ATTACH_WAGON_TO_UNIT_WAGON,Impossible d'atteler un wagon normal à un wagon de Rame
STR_CANNOT_ATTACH_UNIT_WAGON_TO_ENGINE,Impossible d'atteler un wagon de Rame à une locomotive normale
STR_CANNOT_ATTACH_UNIT_WAGON_TO_WAGON,Impossible d'atteler un wagon de Rame à un wagon normal
STR_CANNOT_ATTACH_UNIT_WAGON_CARGO_TO_PASSENGER,Impossible d'atteler ce wagon de Rame Marchandises à une Rame Passagers
STR_CANNOT_ATTACH_UNIT_WAGON_PASSENGER_TO_CARGO,Impossible d'atteler ce wagon de Rame Passagers à une Rame Marchandises
,
STR_PARAM_CONCEPT,Prototypes
STR_PARAM_CONCEPT_DESC,Utiliser les prototypes
STR_PARAM_REGION_AFRICA,Afrique
