##grflangid 0x02,
##plural 0,
##gender m w n p,
,
,
STR_GRF_NAME,{TITLE}
STR_GRF_DESCRIPTION,
STR_GRF_URL,https://github.com/nemethviktor/2ccts_revival
,
,
STR_USED_WITH_DYNAMIC_ENGINES,
STR_ERROR_REGION,"Es wurden keine Regionen aktiviert, {STRING} wurde deaktiviert."
,
,
STR_PARAM_PURCHASE_COST,Multiplikator für Anschaffungskosten
STR_PARAM_PURCHASE_COST_DESC,"Du kannst diesen Parameter benutzen, um die Anschaffungskosten der Fahrzeuge dieses Sets zu erhöhen oder zu verringern."
STR_PARAM_RUNNING_COST,Multiplikator für Betriebskosten
STR_PARAM_RUNNING_COST_DESC,"Du kannst diesen Parameter benutzen, um die Betriebskosten der Fahrzeuge dieses Sets zu erhöhen oder zu verringern."
,
STR_WORD_NORMAL,standard
,
STR_SUFFIX_STEAMENGINE,
STR_SUFFIX_DIESELENGINE,
STR_SUFFIX_ELECTRICENGINE,
STR_SUFFIX_MAGLEVENGINE,
,
STR_SUFFIX_STEAMRAILBUS,Dampf-Schienenbus
STR_SUFFIX_DIESELRAILBUS,Diesel-Schienenbus
STR_SUFFIX_ELECTRICRAILBUS,
STR_SUFFIX_METRORAILBUS,
STR_SUFFIX_MAGLEVRAILBUS,
,
STR_SUFFIX_DMU,
STR_SUFFIX_EMU,
STR_SUFFIX_MAGLEVMU,
STR_SUFFIX_COACH,
STR_SUFFIX_WAGON,
STR_SUFFIX_METRO,U-Bahn
,
STR_SUFFIX_UNPOWERED,nicht angetrieben
STR_SUFFIX_POWERED,angetrieben
,
STR_SUFFIX_STEAM,Dampf
STR_SUFFIX_DIESEL,
STR_SUFFIX_ELECTRIC,Elektrisch
STR_SUFFIX_MAGLEV,
STR_SUFFIX_GAS_TURBINE,
,
STR_SUFFIX_1500V,
STR_SUFFIX_3KV,
STR_SUFFIX_15KV,
STR_SUFFIX_25KV,
STR_SUFFIX_OHLE,
STR_SUFFIX_3RD,
STR_SUFFIX_4TH,
STR_SUFFIX_DUAL,
,
,
STR_UNIT_WAGON_PASSENGER,
STR_UNIT_WAGON_CARGO,
,
STR_CANNOT_ATTACH_WAGON_TO_MU,
STR_CANNOT_ATTACH_WAGON_TO_UNIT_WAGON,
STR_CANNOT_ATTACH_UNIT_WAGON_TO_ENGINE,
STR_CANNOT_ATTACH_UNIT_WAGON_TO_WAGON,
STR_CANNOT_ATTACH_UNIT_WAGON_CARGO_TO_PASSENGER,
STR_CANNOT_ATTACH_UNIT_WAGON_PASSENGER_TO_CARGO,
,
STR_PARAM_CONCEPT,"Konzeptfahrzeuge (zukünftige Funktion, gegenwärtig nicht vorhanden)"
STR_PARAM_CONCEPT_DESC,Benutze Konzeptfahrzeuge (dieser Parameter ist gegenwärtig funktionslos)
STR_PARAM_REGION_AFRICA,Afrika
STR_PARAM_REGION_AFRICA_DESC,Benutze die Fahrzeuge aus Afrika.
STR_PARAM_REGION_NORTH_AMERICA,Nordamerika
STR_PARAM_REGION_NORTH_AMERICA_DESC,Benutze die Fahrzeuge aus Nordamerika.
STR_PARAM_REGION_SOUTH_AMERICA,Südamerika
